1	0.07806652	0	0	0	0	0.112664955	0.09909287	0.147437363	0.544703227	0.979295612
1.125	0.050962596	0	0	0	0	0.092365599	0.076028961	0.084975153	0.370732384	0.894935688
1.25	0.029303895	0	0	0	0	0.077061019	0.06045482	0.022512943	0.196761542	0.810575765
1.375	0.013708025	0	0	0	0	0.062018091	0.046227419	0.021052071	0.188930434	0.446171071
1.5	0.005485613	0	0	0	0	0.04628484	0.029811248	0.019591198	0.181099327	0.081766376
1.625	0.003490403	0	2.37369E-07	4.90823E-07	0	0.028601146	0.011938796	0.018544398	0.155298783	0.059343579
1.75	0.002969936	1.34213E-06	0	0	3.65753E-07	0.01241111	0.001937033	0.017497597	0.129498239	0.036920783
1.875	0.002668545	2.68426E-07	3.56053E-07	1.22706E-07	7.31506E-07	0.002958092	0.000670559	0.016689424	0.074437361	0.031716085
2	0.002377891	1.0737E-06	1.18684E-07	3.19035E-06	1.09726E-06	0.00014231	0.000316907	0.015881251	0.019376483	0.026511388
2.125	0.002037389	5.50274E-06	2.37369E-07	2.69953E-06	2.80411E-06	0	7.70314E-07	0.015198171	0.017386654	0.023290493
2.25	0.00166979	2.41584E-06	5.93421E-07	1.96329E-06	3.65753E-07	0	0	0.014515091	0.015396825	0.020069598
2.375	0.001303213	6.1738E-06	3.91658E-06	2.45411E-07	2.92602E-06	0	0	0.01391497	0.013746776	0.017476481
2.5	0.000856624	3.22111E-06	3.7979E-06	2.82223E-06	2.56027E-06	0	0	0.013314849	0.012096728	0.014883363
2.625	0.000310338	9.79756E-06	3.20448E-06	3.43576E-06	3.04794E-06	0	0	0.012772415	0.010689875	0.012797467
2.75	2.55632E-07	7.51593E-06	5.10342E-06	3.06764E-06	1.21918E-06	0	0	0.01222998	0.009283022	0.010711572
2.875	0	6.1738E-06	7.59579E-06	2.94494E-06	7.80273E-06	0	0	0.011745656	0.008107375	0.009076046
3	0	1.10055E-05	5.69684E-06	2.22097E-05	1.0363E-05	0	0	0.011261332	0.006931728	0.007440521
3.125	0	8.32121E-06	6.765E-06	5.52176E-06	4.75479E-06	0	0	0.010794434	0.005939753	0.006225374
3.25	0	2.36215E-05	1.93455E-05	8.95752E-06	3.41369E-06	0	0	0.010327536	0.004947779	0.005010228
3.375	0	1.95951E-05	6.64632E-06	4.66282E-06	5.60821E-06	0	0	0.009910972	0.004182878	0.004176006
3.5	0	1.8924E-05	1.38861E-05	8.5894E-06	1.14603E-05	0	0	0.009494408	0.003417977	0.003341784
3.625	0	2.63058E-05	1.04442E-05	2.23324E-05	1.01192E-05	0	0	0.009102993	0.002812329	0.002767471
3.75	0	1.87898E-05	1.61411E-05	1.96329E-05	1.54835E-05	0	0	0.008711578	0.00220668	0.002193157
